old_name,new_name
VPCS42,saq_phy_component_summry_vr_12_imputed
VMCS42,saq_mnt_component_summry_vr_12_imputed
VRFLAG42,saq_vpcs42_vmcs42_imputation_flag_vr_12
ADNERV42,saq_30_days_how_often_felt_nervous
ADHOPE42,saq_30_days_how_often_felt_hopeless
ADREST42,saq_30_days_how_often_felt_restless
ADSAD42,saq_30_days_how_often_felt_sad
ADEFRT42,saq_30_days_how_oftn_everythng_an_effort
ADWRTH42,saq_30_days_how_often_felt_worthless
K6SUM42,saq_30_days_overall_rating_of_feelings
ADINTR42,saq_2_wks_little_interest_in_things
ADDPRS42,saq_2_wks_felt_down_depressed_hopeless
PHQ242,saq_2_wks_overall_rating_of_feelings
ADSLEEP42,saq_how_often_trouble_with_sleep
ADKALC42,saq_12_mths_asked_alcohol_consumption
ADNUMDRK42,saq_12_mths_number_drinks_typical_day
ADRNK542,saq_12_mths_had_5_drinks_per_day
ADRNK442,saq_12_mths_had_4_drinks_per_day
ADOFTALC42,saq_12_mths_asked_how_much_or_often_alcohol
ADSTAL42,saq_12_mths_advised_to_stop_alcohol
ADMNTRT42,saq_12_mths_get_counsel_trtment_medicine
ADRATETRT42,saq_12_mths_rate_counsel_trtment_0_worst_10_best
ADTRTHLP42,saq_12_mths_counsel_trtment_helped
ADTRTPD42,saq_12_mths_counsel_trtment_paid_by_other
ADPROBTRT42,saq_12_mths_problem_needed_counsel_trtment
ADUNABTRT42,saq_12_mths_not_get_needed_counsel_trtment
ADRELTRT42,saq_12_mths_counsel_trtment_relig_advisor
ADSCHTRT42,saq_12_mths_counsel_trtment_schl_resource
ADGRPTRT42,saq_12_mths_counsel_trtment_in_person_group
ADONLTRT42,saq_12_mths_counsel_trtment_online
ADPHONTRT42,saq_12_mths_counsel_trtment_teleph_hotline
ADAPPTRT42,saq_12_mths_counsel_trtment_teleph_app
ADTRTEXP42,saq_worry_family_finance_stability_m_health
ADBRTC42,saq_12_mths_birth_control_counseling_or_info
ADMDVT42,saq_last_time_dr_visit
ADFLST42,saq_12_mths_flu_vaccination
ADWGHD42,saq_12_mths_weighed_by_professional
ADWTAD42,saq_12_mths_weight_management_advice
ADTBAC42,saq_12_mths_did_dr_ask_about_tobacco
ADOFTB42,saq_12_mths_how_often_use_tobacco
ADQTTB42,saq_12_mths_did_dr_advise_quit_tobacco
ADQTMD42,saq_12_mths_dr_advs_meds_to_quit_tobac
ADQTHP42,saq_12_mths_dr_advs_oth_way_quit_tobac
ADMOOD42,saq_12_mths_dr_ask_anxious_deprssed
ADBPCK42,saq_24_mths_dr_check_blood_pressure
ADCHLC42,saq_5_yrs_dr_check_cholesterol
ADPNEU42,saq_ever_had_pneumonia_shot
ADSHNG42,saq_ever_had_shingles_vaccine
ADNOAP42,saq_can_t_take_asprin_for_med_reason
ADDSCU42,saq_discuss_aspirin_preventive_use
ADCOLN42,saq_had_colon_cancer_colon_removed
ADCLNS42,saq_10_yrs_had_colonoscopy
ADSGMD42,saq_5_yrs_had_sigmoidoscopy
ADBLDS42,saq_12_mths_at_home_blood_stool_test
ADPROS42,saq_had_prostate_cancer
ADPSAG42,saq_age_last_psa_test
ADUTRM42,saq_had_hystrctmy_crvcl_cancer
ADPAP42,saq_5_yrs_had_pap_smear_test
ADPAPG42,saq_age_at_last_pap_smear_test
ADOSTP42,saq_dx_with_osteoporosis
ADBNDN42,saq_bone_density_scan
ADBRST42,saq_have_brst_cancer_brst_removed
ADMMGR42,saq_2_yrs_had_mammogram
ADCMPM42,saq_date_completed_month
ADCMPY42,saq_date_completed_year
ADLANG42,saq_language_of_saq_interview
ADBMI42,adult_body_mass_index_17_rd_4_2
DCSELIG,eligibility_status_for_dcs
DSDIA53,dcs_diabetes_diagnosis_by_health_prof
DSA1C53,dcs_times_tested_for_a_one_c_2020
DSFT2153,dcs_had_feet_checked_during_2021
DSFT2053,dcs_had_feet_checked_during_2020
DSFT1953,dcs_had_feet_checked_during_2019
DSFB1953,dcs_had_feet_checked_before_2019
DSFTNV53,dcs_never_had_feet_checked
DSEY2153,dcs_dilated_eye_exam_in_2021
DSEY2053,dcs_dilated_eye_exam_in_2020
DSEY1953,dcs_dilated_eye_exam_in_2019
DSEB1953,dcs_dilated_eye_exam_before_2019
DSEYNV53,dcs_never_had_dilated_eye_exam
DSCH2153,dcs_blood_cholesterol_checked_in_2021
DSCH2053,dcs_blood_cholesterol_checked_in_2020
DSCH1953,dcs_blood_cholesterol_checked_in_2019
DSCB1953,dcs_blood_cholesterol_checked_bef_2019
DSCHNV53,dcs_never_had_blood_cholesterol_checked
DSFL2153,dcs_got_flu_vaccination_in_2021
DSFL2053,dcs_got_flu_vaccination_in_2020
DSFL1953,dcs_got_flu_vaccination_in_2019
DSVB1953,dcs_got_flu_vaccination_before_2019
DSFLNV53,dcs_never_got_flu_vaccination
DSKIDN53,dcs_has_diabetes_caused_kidney_problems
DSEYPR53,dcs_has_diabetes_caused_eye_probs
DSDIET53,dcs_treat_diabetes_w_diet_modification
DSMED53,dcs_treat_diabetes_w_meds_by_mouth
DSINSU53,dcs_treat_diabetes_w_insulin_injections
DSCPCP53,dcs_learned_care_from_primary_care_prov
DSCNPC53,dcs_learned_care_from_other_provider
DSCPHN53,dcs_learn_care_from_phone_call_w_prov
DSCINT53,dcs_learned_care_from_reading_internet
DSCGRP53,dcs_learned_care_by_taking_group_class
DSCONF53,dcs_confident_taking_care_of_diabetes
DSPRX53,dcs_was_respondent_a_proxy
DDNWRK20,days_missed_work_due_to_ill_inj_2020
OTHDYS20,miss_any_work_day_to_care_for_oth_2020
OTHNDD20,day_missed_work_to_care_for_oth_2020
ACCELI42,pers_eligible_for_access_supplement_r4_2
HAVEUS42,does_person_have_usc_provider_r4_2
PRACTP42,provider_own_group_practice_r4_2
YNOUSC42_M18,main_reas_pers_doesnt_have_usc_r4_2
PROVTY42_M18,provider_type_r4_2
PLCTYP42,usc_type_of_place_r4_2
TMTKUS42,how_long_it_takes_get_to_usc_r4_2
TYPEPE42,usc_type_of_provider_r4_2
LOCATN42,usc_location_r4_2
HSPLAP42,is_provider_hispanic_or_latino_r4_2
WHITPR42,is_provider_white_r4_2
BLCKPR42,is_provider_black_african_amer_r4_2
ASIANP42,is_provider_asian_r4_2
NATAMP42,is_provider_native_american_r4_2
PACISP42,is_provider_oth_pacific_islndr_r4_2
OTHRCP42,is_provider_some_other_race_r4_2
GENDRP42,is_provider_male_or_female_r4_2
PHNREG42,how_diff_contact_usc_by_phone_r4_2
OFFHOU42,usc_has_offce_hrs_nghts_wkends_r4_2
AFTHOU42,how_diff_contact_usc_aft_hours_r4_2
TREATM42,prov_ask_about_oth_treatments_r4_2
DECIDE42,prov_asks_pers_to_help_decide_r4_2
EXPLOP42,prov_explns_options_to_pers_r4_2
PRVSPK42,prov_speaks_person_s_language_r4_2
DLAYCA42,delay_med_care_for_cost_r4_2
AFRDCA42,could_not_afford_med_care_r4_2
DLAYDN42,delay_getting_dental_for_cost_r4_2
AFRDDN42,could_not_afford_dental_care_r4_2
DLAYPM42,delay_getting_pmed_for_cost_r4_2
AFRDPM42,could_not_afford_pmed_care_r4_2
CVDLAYCA53,delay_med_care_for_covid_r5_3
CVDLAYDN53,delay_getting_dental_for_covid_r5_3
CVDLAYPM53,delay_getting_pmed_for_covid_r5_3
EMPST31,employment_status_rd_3_1
EMPST42,employment_status_rd_4_2
EMPST53,employment_status_rd_5_3
RNDFLG31,data_collection_round_for_rd_3_1_cmj
MORJOB31,has_more_than_one_job_rd_3_1_int_date
MORJOB42,has_more_than_one_job_rd_4_2_int_date
MORJOB53,has_more_than_one_job_rd_5_3_int_date
EVRWRK,ever_wrkd_for_pay_in_life_as_of_12_31_20
HRWG31X,hourly_wage_rd_3_1_cmj_imp_hrwg31x
HRWG42X,hourly_wage_rd_4_2_cmj_imp_hrwg42x
HRWG53X,hourly_wage_rd_5_3_cmj_imp_hrwg53x
HRWGIM31,hrwg31x_imputation_flag
HRWGIM42,hrwg42x_imputation_flag
HRWGIM53,hrwg53x_imputation_flag
HRHOW31,how_hourly_wage_was_calculated_rd_3_1
HRHOW42,how_hourly_wage_was_calculated_rd_4_2
HRHOW53,how_hourly_wage_was_calculated_rd_5_3
DIFFWG31,persons_wages_different_this_rd_3_1_at_cmj
DIFFWG42,persons_wages_different_this_rd_4_2_at_cmj
DIFFWG53,persons_wages_different_this_rd_5_3_at_cmj
NHRWG31,updated_hrly_wage_rd_3_1_cmj_edited
NHRWG42,updated_hrly_wage_rd_4_2_cmj_edited
NHRWG53,updated_hrly_wage_rd_5_3_cmj_edited
HOUR31,hours_per_week_at_rd_3_1_cmj
HOUR42,hours_per_week_at_rd_4_2_cmj
HOUR53,hours_per_week_at_rd_5_3_cmj
TEMPJB31,is_cmj_a_temporary_job_rd_3_1
TEMPJB42,is_cmj_a_temporary_job_rd_4_2
TEMPJB53,is_cmj_a_temporary_job_rd_5_3
SSNLJB31,is_cmj_a_seasonal_job_rd_3_1
SSNLJB42,is_cmj_a_seasonal_job_rd_4_2
SSNLJB53,is_cmj_a_seasonal_job_rd_5_3
SELFCM31,self_employed_at_rd_3_1_cmj
SELFCM42,self_employed_at_rd_4_2_cmj
SELFCM53,self_employed_at_rd_5_3_cmj
DISVW31X,disavowed_health_ins_at_rd_3_1_cmj_ed
DISVW42X,disavowed_health_ins_at_rd_4_2_cmj_ed
DISVW53X,disavowed_health_ins_at_rd_5_3_cmj_ed
CHOIC31,choice_of_health_plans_at_rd_3_1_cmj
CHOIC42,choice_of_health_plans_at_rd_4_2_cmj
CHOIC53,choice_of_health_plans_at_rd_5_3_cmj
INDCAT31,industry_group_rd_3_1_cmj
INDCAT42,industry_group_rd_4_2_cmj
INDCAT53,industry_group_rd_5_3_cmj
NUMEMP31,number_of_employees_at_rd_3_1_cmj
NUMEMP42,number_of_employees_at_rd_4_2_cmj
NUMEMP53,number_of_employees_at_rd_5_3_cmj
MORE31,rd_3_1_cmj_firm_has_more_than_1_location
MORE42,rd_4_2_cmj_firm_has_more_than_1_location
MORE53,rd_5_3_cmj_firm_has_more_than_1_location
UNION31,union_status_at_rd_3_1_cmj
UNION42,union_status_at_rd_4_2_cmj
UNION53,union_status_at_rd_5_3_cmj
NWK31,reason_not_working_during_rd_3_1
NWK42,reason_not_working_during_rd_4_2
NWK53,reason_not_working_during_rd_5_3
CHGJ3142,changed_job_between_rd_3_1_and_rd_4_2
CHGJ4253,changed_job_between_rd_4_2_and_rd_5_3
YCHJ3142,why_chngd_job_between_rd_3_1_and_rd_4_2
YCHJ4253,why_chngd_job_between_rd_4_2_and_rd_5_3
STJBMM31,month_started_rd_3_1_cmj
STJBYY31,year_started_rd_3_1_cmj
STJBMM42,month_started_rd_4_2_cmj
STJBYY42,year_started_rd_4_2_cmj
STJBMM53,month_started_rd_5_3_cmj
STJBYY53,year_started_rd_5_3_cmj
EVRETIRE,person_has_ever_retired
OCCCAT31,occupation_group_rd_3_1_cmj
OCCCAT42,occupation_group_rd_4_2_cmj
OCCCAT53,occupation_group_rd_5_3_cmj
PAYVAC31,paid_vacation_at_rd_3_1_cmj
PAYVAC42,paid_vacation_at_rd_4_2_cmj
PAYVAC53,paid_vacation_at_rd_5_3_cmj
SICPAY31,paid_sick_leave_at_rd_3_1_cmj
SICPAY42,paid_sick_leave_at_rd_4_2_cmj
SICPAY53,paid_sick_leave_at_rd_5_3_cmj
PAYDR31,paid_leave_to_visit_dr_rd_3_1_cmj
PAYDR42,paid_leave_to_visit_dr_rd_4_2_cmj
PAYDR53,paid_leave_to_visit_dr_rd_5_3_cmj
RETPLN31,pension_plan_at_rd_3_1_cmj
RETPLN42,pension_plan_at_rd_4_2_cmj
RETPLN53,pension_plan_at_rd_5_3_cmj
BSNTY31,sole_prop_partner_corp_rd_3_1_cmj
BSNTY42,sole_prop_partner_corp_rd_4_2_cmj
BSNTY53,sole_prop_partner_corp_rd_5_3_cmj
JOBORG31,priv_profit_nonprofit_gov_rd_3_1_cmj
JOBORG42,priv_profit_nonprofit_gov_rd_4_2_cmj
JOBORG53,priv_profit_nonprofit_gov_rd_5_3_cmj
HELD31X,health_insur_held_from_rd_3_1_cmj_ed
HELD42X,health_insur_held_from_rd_4_2_cmj_ed
HELD53X,health_insur_held_from_rd_5_3_cmj_ed
OFFER31X,health_insur_offered_by_rd_3_1_cmj_ed
OFFER42X,health_insur_offered_by_rd_4_2_cmj_ed
OFFER53X,health_insur_offered_by_rd_5_3_cmj_ed
OFREMP31,employer_offers_health_ins_rd_3_1_cmj
